TRANSACTIONS (Income)

ID    TRANSACTION DATE              PRICE excl VAT      PRICE incl VAT      
============================================================================
523   2015-03-09 09:46:36.0         1389.6              250.62              
856   2015-03-09 17:25:06.0         942.36              652.75              
838   2015-03-09 18:25:16.0         1282.9              1551.49             
78    2015-03-09 23:17:23.0         722.98              243.12              
612   2015-03-10 05:44:44.0         55.27               1480.53             
809   2015-03-10 06:25:37.0         829.52              1666.27             
160   2015-03-11 09:11:22.0         773.43              1472.31             
346   2015-03-11 12:26:00.0         1396.78             390.97              
669   2015-03-11 14:55:05.0         1094.79             1234.59             
71    2015-03-11 18:46:15.0         802.08              640.81              
871   2015-03-12 04:00:11.0         156.1               100.4               
234   2015-03-12 08:10:59.0         961.69              284.88              
192   2015-03-12 12:21:23.0         99.65               800.29              
73    2015-03-12 18:54:27.0         1259.72             676.1               
104   2015-03-12 20:33:54.0         956.8               1098.39             
687   2015-03-13 20:25:47.0         1359.52             788.58              
200   2015-03-14 01:46:55.0         1093.23             1791.93             
894   2015-03-14 10:29:54.0         864.72              471.11              
408   2015-03-14 18:45:05.0         1252.7              569.39              
586   2015-03-15 05:41:47.0         597.16              1284.5              
803   2015-03-16 03:15:12.0         658.38              1136.69             
407   2015-03-16 06:01:01.0         1333.97             75.2                
209   2015-03-16 07:52:50.0         36.55               1475.33             
869   2015-03-17 08:05:26.0         1297.38             348.04              
456   2015-03-17 12:11:43.0         744.05              1465.77             
611   2015-03-17 13:05:47.0         51.51               336.82              
74    2015-03-17 15:15:43.0         295.57              310.27              
211   2015-03-17 17:58:33.0         627.76              1397.31             
285   2015-03-17 21:17:18.0         820.47              279.89              
899   2015-03-18 09:38:49.0         925.1               377.22              
50    2015-03-18 18:16:05.0         1246.7              1052.66             
319   2015-03-18 20:52:56.0         316.54              1770.64             
446   2015-03-19 03:01:55.0         841.88              731.14              
587   2015-03-19 05:18:06.0         905.89              848.06              
473   2015-03-19 09:10:13.0         90.04               1537.09             
358   2015-03-19 14:46:10.0         670.67              19.56               
723   2015-03-20 04:07:29.0         226.3               1137.13             
700   2015-03-20 06:14:37.0         88.25               78.38               
853   2015-03-20 12:07:45.0         1037.28             1712.53             
662   2015-03-20 17:10:32.0         1285.6              365.89              
166   2015-03-21 08:02:56.0         280.24              1651.43             
531   2015-03-21 13:15:16.0         140.77              762.6               
641   2015-03-23 07:23:17.0         995.54              1759.25             
218   2015-03-23 11:15:54.0         1439.93             1704.25             
2     2015-03-23 15:16:17.0         175.3               851.39              
335   2015-03-24 04:08:29.0         110.67              824.75              
243   2015-03-24 08:00:11.0         1110.33             1581.21             
196   2015-03-24 08:38:25.0         1462.98             830.54              
9     2015-03-24 14:27:00.0         445.24              1985.29             
773   2015-03-25 05:21:58.0         1346.87             71.57               
552   2015-03-26 13:53:17.0         1230.44             1524.84             
225   2015-03-26 23:14:49.0         711.04              376.14              
616   2015-03-27 07:37:04.0         1377.37             1103.97             
284   2015-03-27 09:13:14.0         207.94              227.33              
144   2015-03-27 12:18:03.0         147.58              1798.61             
96    2015-03-28 00:51:48.0         579.18              1.08                
780   2015-03-28 01:56:41.0         373.8               269.39              
177   2015-03-28 04:53:09.0         784.51              1065.92             
511   2015-03-28 09:17:49.0         1430.54             610.88              
154   2015-03-28 11:59:58.0         942.18              1822.4              
119   2015-03-28 12:41:44.0         1103.51             1280.88             
403   2015-03-28 18:08:00.0         281.5               148.91              
230   2015-03-28 19:34:20.0         197.07              1474.44             
38    2015-03-28 21:36:37.0         59.51               1483.16             
212   2015-03-29 02:59:29.0         11.03               961.96              
685   2015-03-29 04:44:35.0         378.54              519.49              
878   2015-03-29 14:51:32.0         835.0               1684.18             
619   2015-03-29 20:07:09.0         1149.19             216.97              
609   2015-03-30 02:09:06.0         1469.44             1561.91             
947   2015-03-30 02:22:49.0         158.87              606.98              
391   2015-03-30 06:00:15.0         203.24              905.22              
606   2015-03-30 07:17:53.0         494.56              1528.05             
779   2015-03-30 17:13:24.0         31.83               1770.42             
266   2015-03-30 17:51:16.0         594.39              737.02              
445   2015-03-30 18:26:51.0         722.36              570.39              
367   2015-03-31 12:12:16.0         739.92              755.85              
322   2015-03-31 13:56:06.0         1478.13             357.11              
916   2015-03-31 16:26:05.0         443.52              150.36              
451   2015-04-01 09:59:17.0         696.88              1039.64             
771   2015-04-01 20:05:20.0         947.25              1277.52             
21    2015-04-01 21:53:55.0         655.53              1163.58             
535   2015-04-02 01:25:33.0         1020.42             346.75              
254   2015-04-02 06:28:40.0         1392.41             1669.31             
629   2015-04-02 09:57:48.0         429.33              1714.61             
919   2015-04-03 09:39:59.0         803.29              1845.33             
526   2015-04-03 16:04:22.0         1063.4              1032.6              
324   2015-04-04 14:47:56.0         366.5               482.08              
28    2015-04-04 22:00:28.0         523.46              259.59              
960   2015-04-05 01:20:35.0         265.33              221.6               
14    2015-04-05 04:14:38.0         1090.65             1597.61             
283   2015-04-06 19:35:22.0         1493.41             1641.96             
852   2015-04-06 20:21:20.0         105.17              1993.0              
810   2015-04-07 07:38:23.0         213.22              1624.03             
33    2015-04-07 08:44:35.0         695.7               458.4               
848   2015-04-08 02:22:52.0         979.82              818.89              
712   2015-04-08 05:50:32.0         26.19               710.86              
457   2015-04-08 13:10:37.0         98.6                1254.33             
86    2015-04-08 14:00:07.0         1486.99             1988.97             
839   2015-04-08 21:16:11.0         1410.84             1686.77             
44    2015-04-09 03:10:53.0         150.62              1370.51             
513   2015-04-09 07:13:26.0         233.41              1159.08             
917   2015-04-09 17:16:41.0         978.41              263.65              
747   2015-04-10 02:30:19.0         532.33              1750.72             
593   2015-04-10 03:43:02.0         850.52              116.19              
512   2015-04-10 10:44:10.0         86.49               710.54              
34    2015-04-10 18:53:41.0         1261.23             117.81              
199   2015-04-10 19:10:26.0         1269.27             1351.84             
236   2015-04-12 08:15:40.0         843.05              1316.28             
785   2015-04-12 18:14:01.0         1238.62             1362.59             
684   2015-04-12 21:54:59.0         304.12              1849.66             
855   2015-04-12 23:51:48.0         391.03              1856.71             
91    2015-04-13 23:48:02.0         401.33              1217.78             
357   2015-04-14 05:59:15.0         482.48              67.33               
129   2015-04-14 06:22:18.0         1081.38             641.54              
876   2015-04-14 23:09:01.0         626.7               112.47              
476   2015-04-15 00:23:32.0         1259.94             934.1               
137   2015-04-15 03:36:22.0         954.85              1871.51             
582   2015-04-15 03:52:04.0         852.08              20.89               
416   2015-04-15 07:24:47.0         485.62              429.45              
368   2015-04-15 10:10:35.0         731.04              1231.78             
87    2015-04-15 10:49:32.0         1089.84             406.46              
328   2015-04-15 11:28:30.0         223.19              1332.99             
385   2015-04-15 15:27:55.0         363.44              1067.25             
261   2015-04-15 20:24:15.0         25.18               384.13              
204   2015-04-16 04:11:03.0         424.76              809.91              
862   2015-04-16 10:07:03.0         286.0               1771.44             
161   2015-04-16 13:41:48.0         557.14              293.49              
727   2015-04-17 00:04:07.0         141.19              47.6                
515   2015-04-18 03:21:47.0         1478.16             366.52              
863   2015-04-18 13:46:00.0         795.37              666.71              
287   2015-04-18 14:02:40.0         714.33              666.15              
480   2015-04-18 14:09:38.0         590.98              496.78              
106   2015-04-18 16:50:32.0         681.66              987.11              
898   2015-04-18 22:08:26.0         1173.98             989.55              
715   2015-04-20 05:25:29.0         1008.53             124.47              
362   2015-04-20 13:26:02.0         243.65              1562.79             
472   2015-04-20 16:26:04.0         494.43              1258.25             
306   2015-04-20 18:35:05.0         750.05              153.1               
724   2015-04-20 20:24:43.0         373.75              1583.44             
979   2015-04-20 20:55:11.0         535.91              708.9               
739   2015-04-20 21:39:58.0         1319.81             648.08              
103   2015-04-22 01:30:53.0         1329.97             524.01              
479   2015-04-22 02:02:01.0         722.57              1347.69             
